OriginAirportID,DestAirportID,Airline,OriginCityName,Distance,AirTime,Month
12402,12173,4,187,216,33.0,5
14027,11057,1,86,590,88.0,7
14747,14107,8,6,1107,146.0,4
14679,11292,16,5,853,113.0,6
13487,11057,3,31,930,107.0,3
12758,12173,2,113,163,28.0,6
13930,14747,3,11,1721,233.0,7
13930,14108,20,11,130,34.0,2
13204,10821,5,60,787,104.0,1
11617,11057,6,308,221,49.0,6
12953,10599,9,17,866,127.0,1
13931,13930,11,101,717,,3
13891,14893,2,80,390,63.0,1
13029,11292,19,131,423,64.0,7
14057,10713,12,15,344,60.0,2
12264,12889,7,10,2065,275.0,4
14262,14771,0,137,421,64.0,3
12266,10781,19,61,253,40.0,7
15304,14492,3,50,587,83.0,6
14704,11057,18,225,371,70.0,3
14747,10721,8,6,2496,286.0,7
12191,13244,2,61,484,69.0,3
13796,12889,16,42,407,68.0,2
11292,14831,2,22,948,138.0,6
14747,12892,8,6,954,123.0,4
11697,15016,2,37,1057,142.0,7
10423,11292,7,16,775,129.0,5
12339,14986,17,77,876,119.0,6
14908,11292,7,9,846,107.0,3
15016,12266,10,69,667,111.0,5
13487,11433,3,31,528,74.0,4
13930,11288,0,11,156,30.0,3
12339,12478,11,77,665,88.0,2
12217,13930,0,152,510,89.0,5
12266,13232,2,61,917,128.0,5
12264,14107,7,10,1956,265.0,5
13303,14122,1,24,1013,141.0,4
11259,10397,2,41,721,97.0,1
11298,10728,14,25,270,,3
13930,10994,14,11,760,100.0,5
14747,12982,8,6,2701,346.0,4
14730,13204,5,145,719,103.0,6
14107,11618,7,8,2133,224.0,3
13851,13930,0,45,693,,2
11292,13342,0,22,896,111.0,4
11278,11995,6,10,248,49.0,1
10529,11433,3,40,549,93.0,6
10721,11697,15,71,1237,177.0,3
15016,13204,2,69,882,116.0,4
13891,13796,2,80,362,55.0,2
11433,11292,2,4,1123,163.0,6
14747,11618,7,6,2402,259.0,2
11259,10397,2,41,721,101.0,4
10693,13487,2,20,695,104.0,3
13204,13198,16,60,1072,152.0,2
12266,10185,19,61,190,40.0,5
11292,15016,16,22,770,97.0,1
12953,13495,15,17,1183,175.0,6
13796,14747,2,42,672,102.0,5
12889,10721,5,3,2381,259.0,7
13204,10397,3,60,404,59.0,7
12953,13931,9,17,296,58.0,2
12478,11433,9,17,509,80.0,7
10721,12339,11,71,818,128.0,4
10423,12478,1,16,1521,173.0,2
11298,15412,14,25,771,91.0,2
13891,14057,8,80,838,114.0,5
13485,11057,6,203,708,93.0,4
11618,14843,15,26,1608,189.0,2
13485,13930,20,203,109,32.0,1
14679,10721,15,5,2588,287.0,1
15304,13303,14,50,204,52.0,6
13930,13230,20,11,594,79.0,1
11292,14193,0,22,1179,162.0,6
12264,11433,19,10,383,66.0,5
14893,10713,2,96,437,62.0,6
14893,14747,8,96,605,85.0,5
14100,14771,1,74,2521,342.0,2
10397,13204,3,12,404,63.0,1
13577,11697,5,116,529,,6
13487,10821,3,31,936,113.0,1
10397,12953,3,12,762,98.0,4
13930,11066,14,11,296,47.0,6
10423,14908,1,16,1209,161.0,6
13930,13487,7,11,334,58.0,7
12982,12892,1,56,2615,302.0,1
11996,10821,2,154,426,56.0,3
14771,11057,1,27,2296,261.0,6
10792,11292,2,120,1359,203.0,1
12889,13796,2,3,407,67.0,2
14100,15304,1,74,920,130.0,5
10693,12266,10,20,657,94.0,7
10721,12451,11,71,1010,161.0,7
11986,12953,9,146,618,88.0,5
14107,11292,7,8,602,80.0,7
11057,10721,1,35,728,101.0,7
11618,11278,13,26,199,44.0,3
13264,14747,0,127,352,57.0,3
13930,15370,11,11,585,,6
14893,14908,2,96,404,62.0,2
